#####################################################################
# Alchemist log file - simulation started at: 2025-12-10T11:25+0000 #
#####################################################################
#
# grid_size = 10.0, range = 3.5, seed = 6.0
#
# The columns have the following meaning: 
# time state[mean] state[min] state[max] 
0.0 0.0 0.0 0.0
0.011559271615065425 0.0 0.0 0.0
0.11706894940743195 0.0 0.0 0.0
0.23938035792534929 0.0 0.0 0.0
0.3081943518225607 0.0 0.0 0.0
0.40497115529617567 0.0 0.0 0.0
0.5004620032221583 0.029411764705882377 0.0 1.0
0.6146856456408811 0.10784313725490195 0.0 1.0
0.7002831830029583 0.18627450980392143 0.0 1.0
0.8016623036423078 0.3431372549019609 0.0 1.0
0.914125340240697 0.43137254901960775 0.0 1.0
1.0115592716150654 0.5784313725490196 0.0 1.0
1.117068949407432 0.6568627450980392 0.0 1.0
1.2393803579253493 0.7156862745098038 0.0 1.0
1.3081943518225607 0.7647058823529411 0.0 1.0
1.4049711552961757 0.9117647058823529 0.0 1.0
1.5004620032221583 0.9901960784313726 0.0 1.0
1.6146856456408811 0.9901960784313726 0.0 1.0
1.7002831830029583 1.0 1.0 1.0
1.8016623036423078 1.0 1.0 1.0
1.914125340240697 1.0 1.0 1.0
2.0115592716150656 1.0 1.0 1.0
2.117068949407432 1.0 1.0 1.0
2.2393803579253495 1.0 1.0 1.0
2.3081943518225607 1.0 1.0 1.0
2.4049711552961757 1.0 1.0 1.0
2.5004620032221583 1.0 1.0 1.0
2.614685645640881 1.0 1.0 1.0
#####################################################################
# End of data export. Simulation finished at: 2025-12-10T11:25+0000 #
#####################################################################
