#####################################################################
# Alchemist log file - simulation started at: 2026-01-25T08:32+0000 #
#####################################################################
#
# seed = 44.0, connection_range_percentage = 0.15, variability = 10.0, history_length = 6000
#
# The columns have the following meaning: 
# time wandering[mean] defending[mean] solving[mean] wait[mean] attacked[max] alarm[max] historySize[mean] disagreementRate 
0.0 NaN NaN NaN NaN 0.0 0.0 NaN 0.0
0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0
1.0025151554058795 0.0 0.0 0.0 1.0 0.0 0.0 2.4 0.0
2.017434237895949 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
3.006145898638076 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
4.018811921755109 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
5.030536491509331 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
6.006276239435134 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
7.015748443340481 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
8.041306893580176 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
9.041306893580176 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
10.004797028636553 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
11.041306893580176 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
12.031550132853333 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
13.041306893580176 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
14.021790211830314 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
15.011077954008655 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
16.003628179428706 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
17.004656364885093 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
18.041306893580177 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
19.03025048549068 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
20.010089851387107 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
