#####################################################################
# Alchemist log file - simulation started at: 2026-01-25T11:02+0000 #
#####################################################################
#
# seed = 78.0, connection_range_percentage = 0.3, variability = 3.0, history_length = 6000
#
# The columns have the following meaning: 
# time wandering[mean] defending[mean] solving[mean] wait[mean] attacked[max] alarm[max] historySize[mean] disagreementRate 
0.0 NaN NaN NaN NaN 0.0 0.0 NaN 0.0
0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0
1.0062934279010534 0.0 0.0 0.0 1.0 0.0 0.0 2.3 0.0
2.03936511238763 0.0 0.0 0.0 1.0 0.0 0.0 2.85 0.0
3.038601385738395 0.0 0.0 0.0 1.0 0.0 0.0 2.925 0.0
4.00851721664323 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
5.01927725704552 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
6.033419227303703 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
7.03936511238763 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
8.013796678756071 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
9.03936511238763 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
10.03936511238763 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
11.03732954915293 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
12.011569078406211 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
13.03936511238763 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
14.03936511238763 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
15.03936511238763 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
16.039365112387628 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
17.01458726618618 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
18.029465569217002 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
19.039365112387628 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
20.039365112387628 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
